requirement_id,target_release,status
ARCH-001,0.1,v0.3 normative; implementation evidence pending
PROM-001,0.1,v0.3 normative; implementation evidence pending
PROM-002,0.1,v0.3 normative; implementation evidence pending
PROM-003,0.1,v0.3 normative; implementation evidence pending
PROM-004,0.1,v0.3 normative; implementation evidence pending
PROM-005,0.1,v0.3 normative; implementation evidence pending
PROTO-001,0.1,v0.3 normative; implementation evidence pending
PROTO-002,0.1,v0.3 normative; implementation evidence pending
PROTO-003,0.1,v0.3 normative; implementation evidence pending
PROTO-004,0.1,v0.3 normative; implementation evidence pending
PROTO-005,0.1,v0.3 normative; implementation evidence pending
PROTO-006,0.1,v0.3 normative; implementation evidence pending
PROTO-007,0.1,v0.3 normative; implementation evidence pending
QA-001,0.1,v0.3 normative; implementation evidence pending
QA-002,0.1,v0.3 normative; implementation evidence pending
QA-003,0.1,v0.3 normative; implementation evidence pending
QA-004,0.1,v0.3 normative; implementation evidence pending
QA-005,0.1,v0.3 normative; implementation evidence pending
QA-006,0.1,v0.3 normative; implementation evidence pending
RES-001,0.1,v0.3 normative; implementation evidence pending
RES-002,0.1,v0.3 normative; implementation evidence pending
RES-003,0.1,v0.3 normative; implementation evidence pending
RES-004,0.1,v0.3 normative; implementation evidence pending
RET-001,0.1,v0.3 normative; implementation evidence pending
RET-002,0.1,v0.3 normative; implementation evidence pending
SOCK-001,0.1,v0.3 normative; implementation evidence pending
SOCK-002,0.1,v0.3 normative; implementation evidence pending
SRC-001,0.1,v0.3 normative; implementation evidence pending
SRC-002,0.1,v0.3 normative; implementation evidence pending
SRC-003,0.1,v0.3 normative; implementation evidence pending
SRC-004,0.1,v0.3 normative; implementation evidence pending
SRC-005,0.1,v0.3 normative; implementation evidence pending
SRC-006,0.1,v0.3 normative; implementation evidence pending
SRC-007,0.1,v0.3 normative; implementation evidence pending
SRCART-001,0.1,v0.3 normative; implementation evidence pending
STOR-001,0.1,v0.3 normative; implementation evidence pending
STOR-002,0.1,v0.3 normative; implementation evidence pending
STOR-003,0.1,v0.3 normative; implementation evidence pending
SUP-001,0.1,v0.3 normative; implementation evidence pending
SUP-002,0.1,v0.3 normative; implementation evidence pending
SUP-003,0.1,v0.3 normative; implementation evidence pending
SUP-004,0.1,v0.3 normative; implementation evidence pending
SUP-005,0.1,v0.3 normative; implementation evidence pending
TEST-001,0.1,v0.3 normative; implementation evidence pending
TEST-002,0.1,v0.3 normative; implementation evidence pending
TEST-003,0.1,v0.3 normative; implementation evidence pending
TEST-004,0.1,v0.3 normative; implementation evidence pending
TRUST-001,0.1,v0.3 normative; implementation evidence pending
UPG-001,0.1,v0.3 normative; implementation evidence pending
UPG-002,0.1,v0.3 normative; implementation evidence pending
UPG-003,0.1,v0.3 normative; implementation evidence pending
UPG-004,0.1,v0.3 normative; implementation evidence pending
UX-001,0.1,v0.3 normative; implementation evidence pending
UX-002,0.1,v0.3 normative; implementation evidence pending
UX-003,0.1,v0.3 normative; implementation evidence pending
UX-004,0.1,v0.3 normative; implementation evidence pending
VFS-001,0.1,v0.3 normative; implementation evidence pending
VFS-002,0.1,v0.3 normative; implementation evidence pending
VFS-003,0.1,v0.3 normative; implementation evidence pending
WS-001,0.1,v0.3 normative; implementation evidence pending
WS-002,0.1,v0.3 normative; implementation evidence pending
WS-003,0.1,v0.3 normative; implementation evidence pending
WS-004,0.1,v0.3 normative; implementation evidence pending
WS-005,0.1,v0.3 normative; implementation evidence pending
